distretto,day_of_year,precipitation_p1,precipitation_p10,precipitation_p25,precipitation_p75,precipitation_p50,precipitation_p95,precipitation_p99
7657.0,1.0,0.0,0.0,0.0,0.0,0.0,8.681969747874028,8.681969747874028
11058.0,1.0,0.0,0.0,0.0,0.0,0.0,8.832500457763672,8.832500457763672
7662.0,1.0,0.0,0.0,0.0,0.0,0.0,5.852915811505376,5.852915811505376
7661.0,1.0,0.0,0.0,0.0,0.0,0.0,5.289808279093396,5.289808279093396
7663.0,1.0,0.0,0.0,0.0,0.0,0.0,4.962794701021265,4.962794701021265
7667.0,1.0,0.0,0.0,0.0,0.0,0.0,5.598755788556344,5.598755788556344
7660.0,1.0,0.0,0.0,0.0,0.0,0.0,4.85164565180745,4.85164565180745
7658.0,1.0,0.0,0.0,0.0,0.0,0.0,5.499172674434133,5.499172674434133
7666.0,1.0,0.0,0.0,0.0,0.0,0.0,4.095551387299882,4.095551387299882
7659.0,1.0,0.0,0.0,0.0,0.0,0.0,5.727557838023516,5.727557838023516
7656.0,1.0,0.0,0.0,0.0,0.0,0.0,7.581046770097295,7.581046770097295
7669.0,1.0,0.0,0.0,0.0,0.0,0.0,8.31267657923015,8.31267657923015
7668.0,1.0,0.0,0.0,0.0,0.0,0.0,7.544859211751687,7.544859211751687
7670.0,1.0,0.0,0.0,0.0,0.0,0.0,6.106987352141876,6.106987352141876
7639.0,1.0,0.0,0.0,0.0,0.10339344828090279,0.0,7.3604263468553315,7.3604263468553315
7680.0,1.0,0.0,0.0,0.0,0.0,0.0,9.131433214686501,9.131433214686501
7679.0,1.0,0.0,0.0,0.0,0.0,0.0,7.598187745614636,7.598187745614636
7688.0,1.0,0.0,0.0,0.0,0.0,0.0,10.965018614797424,10.965018614797424
7672.0,1.0,0.0,0.0,0.0,0.0,0.0,9.883545636766163,9.883545636766163
7678.0,1.0,0.0,0.0,0.0,0.0,0.0,9.623114032343777,9.623114032343777
7676.0,1.0,0.0,0.0,0.0,0.0,0.0,8.712521844056562,8.712521844056562
7671.0,1.0,0.0,0.0,0.0,0.0,0.0,8.644052719520015,8.644052719520015
7674.0,1.0,0.0,0.0,0.0,0.0,0.0,6.403830274953635,6.403830274953635
7673.0,1.0,0.0,0.0,0.0,0.0,0.0,8.820802702402325,8.820802702402325
7677.0,1.0,0.0,0.0,0.0,0.0,0.0,9.403567327044977,9.403567327044977
7675.0,1.0,0.0,0.0,0.0,0.0,0.0,7.934899111353722,7.934899111353722
7657.0,2.0,0.0,0.0,0.0,4.362120681041159,0.0,8.008591820559467,8.008591820559467
11058.0,2.0,0.0,0.0,0.0,4.989664077758789,0.0,8.832500457763672,8.832500457763672
7662.0,2.0,0.0,0.0,0.0,2.448868778933186,0.0,6.933755653209406,6.933755653209406
7661.0,2.0,0.0,0.0,0.0,4.495037645356267,0.0,7.984407670748358,7.984407670748358
7663.0,2.0,0.0,0.0,0.0,4.901178835677602,0.03098919985943818,9.500050995416496,9.500050995416496
7667.0,2.0,0.0,0.0,0.0,3.207341987122499,0.0,8.904968754248696,8.904968754248696
7660.0,2.0,0.0,0.0,0.0,5.845091611333892,0.0,10.631864859887319,10.631864859887319
7658.0,2.0,0.0,0.0,0.0,4.551525361255609,0.0,9.093930650702042,9.093930650702042
7666.0,2.0,0.0,0.0,0.0,2.2517874504657502,0.0,8.191102774599765,8.191102774599765
7659.0,2.0,0.0,0.0,0.0,4.421612274790361,0.24030218917071508,9.112233797878169,9.112233797878169
7656.0,2.0,0.0,0.0,0.0,5.585041526214075,0.0,8.584412134203264,8.584412134203264
7669.0,2.0,0.0,0.0,0.0,2.3331506316713417,0.0,10.053593588908647,10.053593588908647
7668.0,2.0,0.0,0.0,0.0,2.9874163398764555,0.0,9.540037315394775,9.540037315394775
7670.0,2.0,0.0,0.0,0.0,4.9643943723743575,0.0,8.569812719234248,8.569812719234248
7639.0,2.0,0.0,0.0,0.0,4.408539214042477,0.0,7.548499851058548,7.548499851058548
7680.0,2.0,0.0,0.0,0.0,5.179011841363196,0.0,9.315388109496398,9.315388109496398
7679.0,2.0,0.0,0.0,0.0,4.259418378534569,0.0,7.774306363536959,7.774306363536959
7688.0,2.0,0.0,0.0,0.0,3.781351587250939,0.0,8.828634318002722,8.828634318002722
7672.0,2.0,0.0,0.0,0.0,1.524047477785307,0.0,9.143539949918228,9.143539949918228
7678.0,2.0,0.0,0.0,0.0,3.6533179236410964,0.0,9.288126009512348,9.288126009512348
7676.0,2.0,0.0,0.0,0.0,3.2089958638446086,0.0,8.366365058222906,8.366365058222906
7671.0,2.0,0.0,0.0,0.0,1.2504960395823141,0.0,9.380735429485192,9.380735429485192
7674.0,2.0,0.0,0.0,0.0,2.9860450946139987,0.0,8.608483462933675,8.608483462933675
7673.0,2.0,0.0,0.0,0.0,1.8010890120693746,0.0,8.60569909256514,8.60569909256514
7677.0,2.0,0.0,0.0,0.0,4.254667970695368,0.0,8.771339255444724,8.771339255444724
7675.0,2.0,0.0,0.0,0.0,5.074683934774548,0.0,11.071725498597544,11.071725498597544
7657.0,3.0,0.0,0.0,0.0,5.757815712127443,0.0,10.953741787958728,10.953741787958728
11058.0,3.0,0.0,0.0,0.0,4.947754859924316,0.0,7.761149883270264,7.761149883270264
7662.0,3.0,0.0,0.0,0.0,4.644400006903376,0.0,8.851704803902647,8.851704803902647
7661.0,3.0,0.0,0.0,0.0,4.491781579691082,0.0,8.384372697046254,8.384372697046254
7663.0,3.0,0.0,0.0,0.0,5.12097382158631,0.0,7.579697918524148,7.579697918524148
7667.0,3.0,0.0,0.0,0.0,1.414860023274717,0.0,6.558514752687475,6.558514752687475
7660.0,3.0,0.0,0.0,0.0,6.010820814552092,0.0,8.809586263211491,8.809586263211491
7658.0,3.0,0.0,0.0,0.0,5.381840325969127,0.0,9.402784491487045,9.402784491487045
7666.0,3.0,0.0,0.0,0.0,0.0,0.0,4.763323647925193,4.763323647925193
7659.0,3.0,0.0,0.0,0.0,5.148835272348095,0.0,8.113566793939485,8.113566793939485
7656.0,3.0,0.0,0.0,0.0,5.1683930246257015,0.0,10.613034940891433,10.613034940891433
7669.0,3.0,0.0,0.0,0.0,3.69675270465683,0.0,7.795647301741151,7.795647301741151
7668.0,3.0,0.0,0.0,0.0,2.28595074666197,0.0,6.793844061734692,6.793844061734692
7670.0,3.0,0.0,0.0,0.0,3.732794971083831,0.0,9.23126992659483,9.23126992659483
7639.0,3.0,0.0,0.0,0.0,6.204527205368734,0.0,10.15706906071397,10.15706906071397
7680.0,3.0,0.0,0.0,0.0,5.932159973436577,0.0,11.452966314431666,11.452966314431666
7679.0,3.0,0.0,0.0,0.0,5.860696200488968,0.0,10.087565673234426,10.087565673234426
7688.0,3.0,0.0,0.0,0.0,5.105594907575925,0.0,11.699914999580525,11.699914999580525
7672.0,3.0,0.0,0.0,0.0,3.723556413091226,0.07618699998326821,9.291613783471524,9.291613783471524
7678.0,3.0,0.0,0.0,0.0,3.279582783181038,0.0,9.921274136677866,9.921274136677866
7676.0,3.0,0.0,0.0,0.0,4.162824841512278,0.0,8.504231070707007,8.504231070707007
7671.0,3.0,0.0,0.0,0.0,4.382590390746231,1.1665023448973417,8.56558529404336,8.56558529404336
7674.0,3.0,0.0,0.0,0.0,0.7751624769017511,0.10609348092929531,7.497495405946911,7.497495405946911
7673.0,3.0,0.0,0.0,0.0,4.050072285611291,0.04026174921945676,8.407256761756358,8.407256761756358
7677.0,3.0,0.0,0.0,0.0,1.5412346594201032,0.0,7.6460374695897855,7.6460374695897855
7675.0,3.0,0.0,0.0,0.0,4.470853908277493,0.0,9.734958669217455,9.734958669217455
7657.0,4.0,0.0,0.0,0.0,3.3494378227912374,0.05052081638245462,11.226639590286814,11.226639590286814
11058.0,4.0,0.0,0.0,0.0,3.3703103065490723,0.0,11.914469718933105,11.914469718933105
7662.0,4.0,0.0,0.0,0.0,3.932941107713285,0.0,9.049237744779873,9.049237744779873
7661.0,4.0,0.0,0.0,0.0,3.56038622926817,0.06968879258621051,10.093231727998779,10.093231727998779
7663.0,4.0,0.0,0.0,0.0,3.685492450893966,0.0,7.6697394032556065,7.6697394032556065
7667.0,4.0,0.0,0.0,0.0,3.4994499685599103,0.0,11.205375120328332,11.205375120328332
7660.0,4.0,0.0,0.0,0.0,4.100033133773314,0.0,8.164080944085212,8.164080944085212
7658.0,4.0,0.0,0.0,0.0,4.0322546228961,0.0,8.849173224761321,8.849173224761321
7666.0,4.0,0.0,0.0,0.0,4.102265756688219,0.0,11.991655568873627,11.991655568873627
7659.0,4.0,0.0,0.0,0.0,3.8593790253185003,0.2255593067171408,8.542894914469727,8.542894914469727
7656.0,4.0,0.0,0.0,0.0,3.2231068811608927,0.08229296343205114,11.323023018016665,11.323023018016665
7669.0,4.0,0.0,0.0,0.0,3.1124725681354843,0.0,9.310970790960463,9.310970790960463
7668.0,4.0,0.0,0.0,0.0,3.0398859598515715,0.0,8.939079827702,8.939079827702
7670.0,4.0,0.0,0.0,0.0,3.14928878983897,0.0,12.452945584543725,12.452945584543725
7639.0,4.0,0.0,0.0,0.0,3.6139295707295935,0.0,8.667061169776174,8.667061169776174
7680.0,4.0,0.0,0.0,0.0,2.6521596403325765,0.0,11.888321253445882,11.888321253445882
7679.0,4.0,0.0,0.0,0.0,2.7653091464847104,0.0,9.9787552649123,9.9787552649123
7688.0,4.0,0.0,0.0,0.0,2.4075786591300385,0.0,13.248693282281177,13.248693282281177
7672.0,4.0,0.0,0.0,0.0,3.0915551273916084,0.0,11.447541011813108,11.447541011813108
7678.0,4.0,0.0,0.0,0.0,4.952933345201243,0.0,18.8976638178327,18.8976638178327
7676.0,4.0,0.0,0.0,0.0,5.327521902492993,0.0,14.365055788555228,14.365055788555228
7671.0,4.0,0.0,0.0,0.0,0.17664329600996834,0.0,9.09908042441875,9.09908042441875
7674.0,4.0,0.0,0.0,0.0,2.0689654267386888,0.0,6.622390425927029,6.622390425927029
7673.0,4.0,0.0,0.0,0.0,2.5503148506939093,0.0,11.649589493474616,11.649589493474616
7677.0,4.0,0.0,0.0,0.0,4.931438479112765,0.0,13.183550252957689,13.183550252957689
7675.0,4.0,0.0,0.0,0.0,3.829305490328134,0.0,12.591977333830704,12.591977333830704
7657.0,5.0,0.0,0.0,0.0,3.8259902329935582,0.0,18.44812479558252,18.44812479558252
11058.0,5.0,0.0,0.0,0.0,2.944166898727417,0.0,15.885960578918457,15.885960578918457
7662.0,5.0,0.0,0.0,0.0,5.85426186015771,0.0,17.637953938178292,17.637953938178292
7661.0,5.0,0.0,0.0,0.0,6.229351957909899,0.0,17.816799410001085,17.816799410001085
7663.0,5.0,0.0,0.0,0.0,5.069281583562998,0.0,15.076109523476216,15.076109523476216
7667.0,5.0,0.0,0.0,0.0,6.304793592850436,0.0,15.964234474281252,15.964234474281252
7660.0,5.0,0.0,0.0,0.0,3.9568044014527484,0.0,16.49347176112076,16.49347176112076
7658.0,5.0,0.0,0.0,0.0,5.738943334314963,0.0,17.72694446824789,17.72694446824789
7666.0,5.0,0.0,0.0,0.0,4.5706486255564585,0.0,16.462503782231757,16.462503782231757
7659.0,5.0,0.0,0.0,0.0,4.191814652425739,0.0,16.50938241943882,16.50938241943882
