distretto,day_of_year,Gpp_p1,Gpp_p10,Gpp_p25,Gpp_p75,Gpp_p50,Gpp_p95,Gpp_p99
7657.0,0,0.0826098752034726,5.352380629408568,9.770008138903956,23.484400434074868,16.436923494302757,41.32755697232773,48.58603499728703
11058.0,0,0.0,5.360774818401938,7.545601291364005,17.04116222760291,12.538337368845845,34.11057304277644,39.551251008878126
7662.0,0,0.0,3.8036338225017476,6.880153738644304,20.012928022361983,12.452480782669461,33.352900069881194,38.960167714884705
7661.0,0,0.0,5.823522028367014,8.69812978536463,28.3211999497929,17.129408811346803,41.340027613907374,49.00539726371282
7663.0,0,0.011441109630906669,3.907609121542199,6.868897421832147,18.438915445497997,11.768591803150226,33.147402241203665,39.656766711072805
7667.0,0,0.09382989277673903,4.893883313618497,8.601709466936313,24.210287327813177,14.711985347426257,37.46857709772197,43.61182126912655
7660.0,0,0.016565785281936925,2.606244026760115,8.102261866836573,24.81013061484549,14.74625676967187,40.19703727301689,46.783370500159286
7658.0,0,0.0,4.053437967115097,6.276283009466865,15.031888390632782,10.668784255107123,30.161808669656203,36.16878425510713
7666.0,0,0.0,3.3389057750759883,6.784498480243161,19.674468085106383,11.09544072948328,32.74984802431611,37.6741641337386
7659.0,0,0.04685314685314685,3.4011475703783405,7.290227720996951,21.084256768872155,13.760641922180383,33.907638515330824,42.9850277927201
7656.0,0,0.5946216087577342,5.88005711565921,11.39276534983341,27.52860542598763,20.440742503569727,40.1631603998096,52.54707282246547
7669.0,0,1.060950985472545,6.981809409788612,9.89921912692315,23.07197612708397,15.330825724139167,37.27505673391349,46.219734467415975
7668.0,0,1.9160249398381102,7.148818639247426,10.588853642528989,25.684095383942235,16.913891927368187,41.47748851454824,56.53234521986439
7670.0,0,2.9759522555731093,9.192733017377565,16.926891346322627,33.501667544321585,26.380200105318593,46.079691065473064,58.604177637353004
7639.0,0,0.015083281924737822,5.710950030845157,12.19457125231339,27.302498457742132,19.534022208513278,45.02168414558917,51.82313386798275
