distretto,day_of_year,NDVI_stdDev,NDVI_mean
7657.0,0,869.901832020298,3848.134719541803
11058.0,0,762.2753133702245,3481.4413015873024
7662.0,0,840.1455541200318,3781.0488170110816
7661.0,0,867.493180740817,3776.041065825876
7663.0,0,768.5952003705285,3661.155964160985
7667.0,0,793.6076103467728,3900.7758814780127
7660.0,0,863.5022138336316,3784.272323295693
7658.0,0,891.2724373030219,3446.5403614845304
7666.0,0,931.1885505520023,3388.984570849616
7659.0,0,900.8978691347999,3629.4859682645183
7656.0,0,878.341046355739,4310.477510638249
7669.0,0,767.4127338359999,3898.23070193049
7668.0,0,807.6624452492632,3940.025943890495
7670.0,0,742.5593445014979,4761.354396411872
7639.0,0,773.0285662003768,4086.0678917921045
7680.0,0,815.0752990605129,3941.66289409565
7679.0,0,721.1355580333409,3719.9445745179014
7688.0,0,977.4876943421152,3901.452017147066
7672.0,0,534.286687506545,3741.428940902975
7678.0,0,629.2791537134153,3344.961260644474
7676.0,0,708.4973481876543,3748.034873344503
7671.0,0,599.2240740299515,3578.65423237591
7674.0,0,700.7993609023074,4066.3590943798613
7673.0,0,574.1475065732451,3645.0796375673594
7677.0,0,965.858912591049,4335.247481816912
7675.0,0,985.6063624003742,4063.4971942397387
7657.0,16,882.7909181478744,3941.0355919993585
11058.0,16,784.9453473472394,3598.352730158731
7662.0,16,1061.9862662273651,3569.7018069282226
7661.0,16,1093.1920613008533,3742.281587610702
7663.0,16,936.1588381028376,3586.6445721769505
7667.0,16,1123.1879783510044,3746.7343431173886
7660.0,16,1221.3420598018658,3672.492068471053
7658.0,16,1057.1499513767365,3417.397906348491
7666.0,16,1087.1460265992855,3337.4662469243003
7659.0,16,1033.338104485959,3635.433726363979
7656.0,16,999.186530176059,4278.853542218087
7669.0,16,763.3934628960519,3914.592015657388
7668.0,16,871.5461268290222,3895.1526632822333
7670.0,16,863.3454288818268,4631.912296974902
7639.0,16,1182.3631036465067,3840.756117681685
7680.0,16,816.5228834063885,3961.575260031355
7679.0,16,920.6323610884995,3646.584813636835
7688.0,16,869.4985450228137,3876.4697164948466
7672.0,16,555.1337477621925,3588.4080615538946
